ts_code,symbol,name,industry,market,list_date
000402.SZ,000402,金融街,全国地产,主板,1996-06-26
000403.SZ,000403,派林生物,生物制药,主板,1996-06-28
000404.SZ,000404,长虹华意,家用电器,主板,1996-06-19
000407.SZ,000407,胜利股份,供气供热,主板,1996-07-03
000408.SZ,000408,藏格矿业,农药化肥,主板,1996-06-28
000409.SZ,000409,云鼎科技,软件服务,主板,1996-06-27
000410.SZ,000410,沈阳机床,机床制造,主板,1996-07-18
000411.SZ,000411,英特集团,医药商业,主板,1996-07-16
000415.SZ,000415,渤海租赁,多元金融,主板,1996-07-16
000417.SZ,000417,合百集团,百货,主板,1996-08-12
000419.SZ,000419,通程控股,百货,主板,1996-08-16
000420.SZ,000420,吉林化纤,化纤,主板,1996-08-02
000421.SZ,000421,南京公用,供气供热,主板,1996-08-06
000422.SZ,000422,湖北宜化,农药化肥,主板,1996-08-15
000423.SZ,000423,东阿阿胶,中成药,主板,1996-07-29
000425.SZ,000425,徐工机械,工程机械,主板,1996-08-28
000426.SZ,000426,兴业银锡,铅锌,主板,1996-08-28
000428.SZ,000428,华天酒店,酒店餐饮,主板,1996-08-08
000429.SZ,000429,粤高速A,路桥,主板,1998-02-20
000430.SZ,000430,张家界,旅游景点,主板,1996-08-29
000488.SZ,000488,晨鸣纸业,造纸,主板,2000-11-20
000498.SZ,000498,山东路桥,建筑工程,主板,1997-06-09
000501.SZ,000501,武商集团,百货,主板,1992-11-20
000503.SZ,000503,国新健康,软件服务,主板,1992-11-30
000504.SZ,000504,南华生物,医疗保健,主板,1992-12-08
000505.SZ,000505,京粮控股,食品,主板,1992-12-21
000507.SZ,000507,珠海港,港口,主板,1993-03-26
000509.SZ,000509,华塑控股,元器件,主板,1993-05-07
000510.SZ,000510,新金路,化工原料,主板,1993-05-07
000513.SZ,000513,丽珠集团,化学制药,主板,1993-10-28
000514.SZ,000514,渝开发,区域地产,主板,1993-07-12
000516.SZ,000516,国际医学,医疗保健,主板,1993-08-09
000517.SZ,000517,荣安地产,区域地产,主板,1993-08-06
000518.SZ,000518,四环生物,生物制药,主板,1993-09-08
000519.SZ,000519,中兵红箭,专用机械,主板,1993-10-08
000520.SZ,000520,凤凰航运,水运,主板,1993-10-25
000521.SZ,000521,长虹美菱,家用电器,主板,1993-10-18
000523.SZ,000523,红棉股份,食品,主板,1993-11-08
000524.SZ,000524,岭南控股,旅游服务,主板,1993-11-18
000526.SZ,000526,学大教育,文教休闲,主板,1993-11-01
000528.SZ,000528,柳工,工程机械,主板,1993-11-18
000529.SZ,000529,广弘控股,食品,主板,1993-11-18
000530.SZ,000530,冰山冷热,机械基件,主板,1993-12-08
000531.SZ,000531,穗恒运A,火力发电,主板,1994-01-06
000532.SZ,000532,华金资本,多元金融,主板,1994-01-03
000533.SZ,000533,顺钠股份,电气设备,主板,1994-01-03
000534.SZ,000534,万泽股份,生物制药,主板,1994-01-10
000536.SZ,000536,华映科技,元器件,主板,1993-11-26
000537.SZ,000537,中绿电,新型电力,主板,1993-12-10
000538.SZ,000538,云南白药,中成药,主板,1993-12-15
000539.SZ,000539,粤电力A,火力发电,主板,1993-11-26
000541.SZ,000541,佛山照明,家用电器,主板,1993-11-23
000543.SZ,000543,皖能电力,火力发电,主板,1993-12-20
000544.SZ,000544,中原环保,环境保护,主板,1993-12-08
000545.SZ,000545,金浦钛业,化工原料,主板,1993-12-15
000546.SZ,000546,金圆股份,环境保护,主板,1993-12-15
000547.SZ,000547,航天发展,通信设备,主板,1993-11-30
000548.SZ,000548,湖南投资,路桥,主板,1993-12-20
000550.SZ,000550,江铃汽车,汽车整车,主板,1993-12-01
000551.SZ,000551,创元科技,专用机械,主板,1994-01-06
000552.SZ,000552,甘肃能化,煤炭开采,主板,1994-01-06
000553.SZ,000553,安道麦A,农药化肥,主板,1993-12-03
000554.SZ,000554,泰山石油,石油贸易,主板,1993-12-15
000555.SZ,000555,神州信息,软件服务,主板,1994-04-08
000557.SZ,000557,西部创业,铁路,主板,1994-06-17
000558.SZ,000558,莱茵体育,旅游景点,主板,1994-05-09
000559.SZ,000559,万向钱潮,汽车配件,主板,1994-01-10
000560.SZ,000560,我爱我家,房产服务,主板,1994-02-02
000561.SZ,000561,烽火电子,通信设备,主板,1994-05-09
000563.SZ,000563,陕国投A,多元金融,主板,1994-01-10
000564.SZ,000564,供销大集,百货,主板,1994-01-10
000565.SZ,000565,渝三峡A,染料涂料,主板,1994-04-08
000566.SZ,000566,海南海药,化学制药,主板,1994-05-25
000567.SZ,000567,海德股份,多元金融,主板,1994-05-25
000568.SZ,000568,泸州老窖,白酒,主板,1994-05-09
000570.SZ,000570,苏常柴A,农用机械,主板,1994-07-01
000571.SZ,000571,新大洲A,煤炭开采,主板,1994-05-25
000572.SZ,000572,海马汽车,汽车整车,主板,1994-08-08
000573.SZ,000573,粤宏远A,电气设备,主板,1994-08-15
000576.SZ,000576,甘化科工,电气设备,主板,1994-09-07
000581.SZ,000581,威孚高科,汽车配件,主板,1998-09-24
000582.SZ,000582,北部湾港,港口,主板,1995-11-02
000586.SZ,000586,汇源通信,通信设备,主板,1995-12-20
000589.SZ,000589,贵州轮胎,汽车配件,主板,1996-03-08
000590.SZ,000590,启迪药业,中成药,主板,1996-01-19
000591.SZ,000591,太阳能,新型电力,主板,1996-02-08
000592.SZ,000592,平潭发展,林业,主板,1996-03-27
000593.SZ,000593,德龙汇能,供气供热,主板,1996-03-12
000595.SZ,000595,宝塔实业,机械基件,主板,1996-04-19
000596.SZ,000596,古井贡酒,白酒,主板,1996-09-27
000597.SZ,000597,东北制药,化学制药,主板,1996-05-23
000598.SZ,000598,兴蓉环境,水务,主板,1996-05-29
000599.SZ,000599,青岛双星,汽车配件,主板,1996-04-30
000600.SZ,000600,建投能源,火力发电,主板,1996-06-06
000601.SZ,000601,韶能股份,水力发电,主板,1996-08-30
000603.SZ,000603,盛达资源,铅锌,主板,1996-08-23
000605.SZ,000605,渤海股份,水务,主板,1996-09-13
000607.SZ,000607,华媒控股,广告包装,主板,1996-08-30
000608.SZ,000608,阳光股份,区域地产,主板,1996-09-19
000610.SZ,000610,西安旅游,旅游服务,主板,1996-09-26
000612.SZ,000612,焦作万方,铝,主板,1996-09-26
000617.SZ,000617,中油资本,多元金融,主板,1996-10-22
000619.SZ,000619,海螺新材,其他建材,主板,1996-10-23
000620.SZ,000620,新华联,全国地产,主板,1996-10-29
000623.SZ,000623,吉林敖东,中成药,主板,1996-10-28
000625.SZ,000625,长安汽车,汽车整车,主板,1997-06-10
000626.SZ,000626,远大控股,商贸代理,主板,1996-11-28
000627.SZ,000627,天茂集团,保险,主板,1996-11-12
000628.SZ,000628,高新发展,建筑工程,主板,1996-11-18
000629.SZ,000629,钒钛股份,小金属,主板,1996-11-15
000630.SZ,000630,铜陵有色,铜,主板,1996-11-20
000631.SZ,000631,顺发恒业,综合类,主板,1996-11-22
000632.SZ,000632,三木集团,综合类,主板,1996-11-21
000633.SZ,000633,合金投资,小金属,主板,1996-11-12
000635.SZ,000635,英力特,化工原料,主板,1996-11-20
000636.SZ,000636,风华高科,元器件,主板,1996-11-29
000637.SZ,000637,茂化实华,石油加工,主板,1996-11-14
000638.SZ,000638,万方发展,农业综合,主板,1996-11-26
000639.SZ,000639,西王食品,食品,主板,1996-11-26
000650.SZ,000650,仁和药业,中成药,主板,1996-12-10
000651.SZ,000651,格力电器,家用电器,主板,1996-11-18
000652.SZ,000652,泰达股份,批发业,主板,1996-11-28
000655.SZ,000655,金岭矿业,普钢,主板,1996-11-28
000657.SZ,000657,中钨高新,小金属,主板,1996-12-05
000659.SZ,000659,珠海中富,广告包装,主板,1996-12-03
000661.SZ,000661,长春高新,生物制药,主板,1996-12-18
000663.SZ,000663,永安林业,林业,主板,1996-12-06
000665.SZ,000665,湖北广电,影视音像,主板,1996-12-10
000668.SZ,000668,荣丰控股,房产服务,主板,1996-12-10
000670.SZ,000670,盈方微,元器件,主板,1996-12-17
000672.SZ,000672,上峰水泥,水泥,主板,1996-12-18
000676.SZ,000676,智度股份,互联网,主板,1996-12-24
000677.SZ,000677,恒天海龙,化纤,主板,1996-12-26
000678.SZ,000678,襄阳轴承,汽车配件,主板,1997-01-06
000679.SZ,000679,大连友谊,百货,主板,1997-01-24
000680.SZ,000680,山推股份,工程机械,主板,1997-01-22
000681.SZ,000681,视觉中国,互联网,主板,1997-01-21
000682.SZ,000682,东方电子,电气设备,主板,1997-01-21
000683.SZ,000683,远兴能源,化工原料,主板,1997-01-31
000685.SZ,000685,中山公用,水务,主板,1997-01-23
000686.SZ,000686,东北证券,证券,主板,1997-02-27
000688.SZ,000688,国城矿业,铅锌,主板,1997-01-20
000690.SZ,000690,宝新能源,火力发电,主板,1997-01-28
000691.SZ,000691,亚太实业,化工原料,主板,1997-02-28
000692.SZ,000692,惠天热电,供气供热,主板,1997-02-27
000695.SZ,000695,滨海能源,广告包装,主板,1997-02-18
000697.SZ,000697,炼石航空,航空,主板,1997-03-25
000698.SZ,000698,沈阳化工,石油加工,主板,1997-02-20
000700.SZ,000700,模塑科技,汽车配件,主板,1997-02-28
000701.SZ,000701,厦门信达,商贸代理,主板,1997-02-26
000702.SZ,000702,正虹科技,饲料,主板,1997-03-18
000703.SZ,000703,恒逸石化,化纤,主板,1997-03-28
000705.SZ,000705,浙江震元,医药商业,主板,1997-04-10
000707.SZ,000707,双环科技,化工原料,主板,1997-04-15
000708.SZ,000708,中信特钢,特种钢,主板,1997-03-26
000709.SZ,000709,河钢股份,普钢,主板,1997-04-16
000710.SZ,000710,贝瑞基因,医疗保健,主板,1997-04-22
000712.SZ,000712,锦龙股份,证券,主板,1997-04-15
000713.SZ,000713,丰乐种业,种植业,主板,1997-04-22
000715.SZ,000715,中兴商业,百货,主板,1997-05-08
000716.SZ,000716,黑芝麻,食品,主板,1997-04-18
000717.SZ,000717,中南股份,普钢,主板,1997-05-08
000718.SZ,000718,苏宁环球,区域地产,主板,1997-04-08
000719.SZ,000719,中原传媒,出版业,主板,1997-03-31
000720.SZ,000720,新能泰山,电气设备,主板,1997-05-09
000721.SZ,000721,西安饮食,酒店餐饮,主板,1997-04-30
000722.SZ,000722,湖南发展,其他建材,主板,1997-05-22
000723.SZ,000723,美锦能源,焦炭加工,主板,1997-05-15
000725.SZ,000725,京东方A,元器件,主板,2001-01-12
000726.SZ,000726,鲁泰A,纺织,主板,2000-12-25
000727.SZ,000727,冠捷科技,元器件,主板,1997-05-20
000728.SZ,000728,国元证券,证券,主板,1997-06-16
000729.SZ,000729,燕京啤酒,啤酒,主板,1997-07-16
000731.SZ,000731,四川美丰,农药化肥,主板,1997-06-17
000733.SZ,000733,振华科技,元器件,主板,1997-07-03
000735.SZ,000735,罗牛山,农业综合,主板,1997-06-11
000736.SZ,000736,中交地产,全国地产,主板,1997-04-25
000737.SZ,000737,北方铜业,铜,主板,1997-04-28
000738.SZ,000738,航发控制,航空,主板,1997-06-26
000739.SZ,000739,普洛药业,化学制药,主板,1997-05-09
000750.SZ,000750,国海证券,证券,主板,1997-07-09
000751.SZ,000751,锌业股份,铅锌,主板,1997-06-26
000753.SZ,000753,漳州发展,综合类,主板,1997-06-26
000755.SZ,000755,山西高速,路桥,主板,1997-06-27
000756.SZ,000756,新华制药,化学制药,主板,1997-08-06
000757.SZ,000757,浩物股份,汽车服务,主板,1997-06-27
000758.SZ,000758,中色股份,铅锌,主板,1997-04-16
000759.SZ,000759,中百集团,超市连锁,主板,1997-05-19
000761.SZ,000761,本钢板材,普钢,主板,1998-01-15
000762.SZ,000762,西藏矿业,小金属,主板,1997-07-08
000766.SZ,000766,通化金马,化学制药,主板,1997-04-30
000767.SZ,000767,晋控电力,火力发电,主板,1997-06-09
000768.SZ,000768,中航西飞,航空,主板,1997-06-26
000776.SZ,000776,广发证券,证券,主板,1997-06-11
000777.SZ,000777,中核科技,机械基件,主板,1997-07-10
000778.SZ,000778,新兴铸管,钢加工,主板,1997-06-06
000779.SZ,000779,甘咨询,建筑工程,主板,1997-05-28
000782.SZ,000782,恒申新材,化纤,主板,1997-06-19
000783.SZ,000783,长江证券,证券,主板,1997-07-31
000785.SZ,000785,居然之家,百货,主板,1997-07-11
000786.SZ,000786,北新建材,其他建材,主板,1997-06-06
000788.SZ,000788,北大医药,化学制药,主板,1997-06-16
000789.SZ,000789,万年青,水泥,主板,1997-09-23
000790.SZ,000790,华神科技,中成药,主板,1998-03-27
000791.SZ,000791,甘肃能源,水力发电,主板,1997-10-14
000792.SZ,000792,盐湖股份,农药化肥,主板,1997-09-04
000793.SZ,000793,华闻集团,出版业,主板,1997-07-29
000795.SZ,000795,英洛华,矿物制品,主板,1997-08-08
000797.SZ,000797,中国武夷,全国地产,主板,1997-07-15
000798.SZ,000798,中水渔业,渔业,主板,1998-02-12
000799.SZ,000799,酒鬼酒,白酒,主板,1997-07-18
000800.SZ,000800,一汽解放,汽车整车,主板,1997-06-18
000801.SZ,000801,四川九洲,家用电器,主板,1998-05-06
000802.SZ,000802,北京文化,影视音像,主板,1998-01-08
000803.SZ,000803,山高环能,环境保护,主板,1998-03-03
000807.SZ,000807,云铝股份,铝,主板,1998-04-08
000810.SZ,000810,创维数字,家用电器,主板,1998-06-02
000811.SZ,000811,冰轮环境,工程机械,主板,1998-05-28
000812.SZ,000812,陕西金叶,广告包装,主板,1998-06-23
000813.SZ,000813,德展健康,化学制药,主板,1998-05-19
000815.SZ,000815,美利云,造纸,主板,1998-06-09
000816.SZ,000816,智慧农业,农用机械,主板,1997-08-18
000818.SZ,000818,航锦科技,化工原料,主板,1997-10-17
000819.SZ,000819,岳阳兴长,石油加工,主板,1997-06-25
000820.SZ,000820,神雾节能,综合类,主板,1998-06-30
000821.SZ,000821,京山轻机,电气设备,主板,1998-06-26
000822.SZ,000822,山东海化,化工原料,主板,1998-07-03
000823.SZ,000823,超声电子,元器件,主板,1997-10-08
000825.SZ,000825,太钢不锈,特种钢,主板,1998-10-21
000826.SZ,000826,启迪环境,环境保护,主板,1998-02-25
000828.SZ,000828,东莞控股,路桥,主板,1997-06-17
000829.SZ,000829,天音控股,其他商业,主板,1997-12-02
000830.SZ,000830,鲁西化工,化工原料,主板,1998-08-07
000831.SZ,000831,中国稀土,小金属,主板,1998-09-11
000833.SZ,000833,粤桂股份,综合类,主板,1998-11-11
000837.SZ,000837,秦川机床,机床制造,主板,1998-09-28
000838.SZ,000838,财信发展,区域地产,主板,1997-06-26
000839.SZ,000839,中信国安,综合类,主板,1997-10-31
000848.SZ,000848,承德露露,软饮料,主板,1997-11-13
000850.SZ,000850,华茂股份,纺织,主板,1998-10-07
000852.SZ,000852,石化机械,化工机械,主板,1998-11-26
000856.SZ,000856,冀东装备,专用机械,主板,1998-08-13
000858.SZ,000858,五粮液,白酒,主板,1998-04-27
000859.SZ,000859,国风新材,塑料,主板,1998-11-19
000860.SZ,000860,顺鑫农业,白酒,主板,1998-11-04
000862.SZ,000862,银星能源,新型电力,主板,1998-09-15
000863.SZ,000863,三湘印象,区域地产,主板,1997-09-25
000868.SZ,000868,安凯客车,汽车整车,主板,1997-07-25
000869.SZ,000869,张裕A,红黄酒,主板,2000-10-26
000875.SZ,000875,吉电股份,火力发电,主板,2002-09-26
000876.SZ,000876,新希望,饲料,主板,1998-03-11
000877.SZ,000877,天山股份,水泥,主板,1999-01-07
000878.SZ,000878,云南铜业,铜,主板,1998-06-02
000880.SZ,000880,潍柴重机,专用机械,主板,1998-04-02
000881.SZ,000881,中广核技,化工原料,主板,1998-09-02
000882.SZ,000882,华联股份,其他商业,主板,1998-06-16
000883.SZ,000883,湖北能源,水力发电,主板,1998-05-19
000885.SZ,000885,城发环境,环境保护,主板,1999-03-19
000886.SZ,000886,海南高速,区域地产,主板,1998-01-23
000887.SZ,000887,中鼎股份,汽车配件,主板,1998-12-03
000888.SZ,000888,峨眉山A,旅游景点,主板,1997-10-21
000890.SZ,000890,法尔胜,环境保护,主板,1999-01-19
000892.SZ,000892,欢瑞世纪,影视音像,主板,1999-01-15
000893.SZ,000893,亚钾国际,农药化肥,主板,1998-12-24
000895.SZ,000895,双汇发展,食品,主板,1998-12-10
000897.SZ,000897,津滨发展,区域地产,主板,1999-04-22
000898.SZ,000898,鞍钢股份,普钢,主板,1997-12-25
000899.SZ,000899,赣能股份,火力发电,主板,1997-11-26
000900.SZ,000900,现代投资,路桥,主板,1999-01-28
000901.SZ,000901,航天科技,汽车配件,主板,1999-04-01
000902.SZ,000902,新洋丰,农药化肥,主板,1999-04-08
000903.SZ,000903,云内动力,汽车配件,主板,1999-04-15
000905.SZ,000905,厦门港务,港口,主板,1999-04-29
000906.SZ,000906,浙商中拓,仓储物流,主板,1999-07-07
000910.SZ,000910,大亚圣象,家居用品,主板,1999-06-30
000911.SZ,000911,广农糖业,食品,主板,1999-05-27
000912.SZ,000912,泸天化,农药化肥,主板,1999-06-03
000913.SZ,000913,钱江摩托,摩托车,主板,1999-05-14
000915.SZ,000915,华特达因,化学制药,主板,1999-06-09
000917.SZ,000917,电广传媒,广告包装,主板,1999-03-25
000919.SZ,000919,金陵药业,化学制药,主板,1999-11-18
000920.SZ,000920,沃顿科技,塑料,主板,1999-06-16
000921.SZ,000921,海信家电,家用电器,主板,1999-07-13
000922.SZ,000922,佳电股份,电气设备,主板,1999-06-18
000923.SZ,000923,河钢资源,普钢,主板,1999-07-14
000925.SZ,000925,众合科技,运输设备,主板,1999-06-11
000926.SZ,000926,福星股份,区域地产,主板,1999-06-18
000927.SZ,000927,中国铁物,仓储物流,主板,1999-07-27
000928.SZ,000928,中钢国际,建筑工程,主板,1999-03-12
000929.SZ,000929,兰州黄河,啤酒,主板,1999-06-23
000930.SZ,000930,中粮科技,农业综合,主板,1999-07-12
000931.SZ,000931,中关村,化学制药,主板,1999-07-12
000932.SZ,000932,华菱钢铁,普钢,主板,1999-08-03
000933.SZ,000933,神火股份,铝,主板,1999-08-31
000935.SZ,000935,四川双马,水泥,主板,1999-08-24
000936.SZ,000936,华西股份,化纤,主板,1999-08-10
000937.SZ,000937,冀中能源,煤炭开采,主板,1999-09-09
000938.SZ,000938,紫光股份,IT设备,主板,1999-11-04
000948.SZ,000948,南天信息,软件服务,主板,1999-10-14
000949.SZ,000949,新乡化纤,化纤,主板,1999-10-21
000950.SZ,000950,重药控股,医药商业,主板,1999-09-16
000951.SZ,000951,中国重汽,汽车整车,主板,1999-11-25
000952.SZ,000952,广济药业,化学制药,主板,1999-11-12
000953.SZ,000953,河化股份,化学制药,主板,1999-12-02
000955.SZ,000955,欣龙控股,纺织,主板,1999-12-09
000957.SZ,000957,中通客车,汽车整车,主板,2000-01-13
000958.SZ,000958,电投产融,多元金融,主板,1999-12-23
000959.SZ,000959,首钢股份,普钢,主板,1999-12-16
000960.SZ,000960,锡业股份,小金属,主板,2000-02-21
000962.SZ,000962,东方钽业,小金属,主板,2000-01-20
000963.SZ,000963,华东医药,化学制药,主板,2000-01-27
000965.SZ,000965,天保基建,区域地产,主板,2000-04-06
000966.SZ,000966,长源电力,火力发电,主板,2000-03-16
000967.SZ,000967,盈峰环境,环境保护,主板,2000-03-30
000968.SZ,000968,蓝焰控股,石油开采,主板,2000-06-22
000969.SZ,000969,安泰科技,小金属,主板,2000-05-29
000970.SZ,000970,中科三环,矿物制品,主板,2000-04-20
000972.SZ,000972,中基健康,食品,主板,2000-09-26
000973.SZ,000973,佛塑科技,塑料,主板,2000-05-25
000975.SZ,000975,山金国际,黄金,主板,2000-06-08
000977.SZ,000977,浪潮信息,IT设备,主板,2000-06-08
000978.SZ,000978,桂林旅游,旅游景点,主板,2000-05-18
000980.SZ,000980,众泰汽车,汽车配件,主板,2000-06-16
000981.SZ,000981,山子高科,汽车配件,主板,2000-06-22
000983.SZ,000983,山西焦煤,煤炭开采,主板,2000-07-26
000985.SZ,000985,大庆华科,化工原料,主板,2000-07-26
000987.SZ,000987,越秀资本,多元金融,主板,2000-07-18
000988.SZ,000988,华工科技,专用机械,主板,2000-06-08
000990.SZ,000990,诚志股份,化工原料,主板,2000-07-06
000993.SZ,000993,闽东电力,水力发电,主板,2000-07-31
000995.SZ,000995,皇台酒业,白酒,主板,2000-08-07
000997.SZ,000997,新大陆,IT设备,主板,2000-08-07
000998.SZ,000998,隆平高科,种植业,主板,2000-12-11
000999.SZ,000999,华润三九,中成药,主板,2000-03-09
001201.SZ,001201,东瑞股份,农业综合,主板,2021-04-28
001202.SZ,001202,炬申股份,仓储物流,主板,2021-04-29
001203.SZ,001203,大中矿业,普钢,主板,2021-05-10
001205.SZ,001205,盛航股份,水运,主板,2021-05-13
001206.SZ,001206,依依股份,造纸,主板,2021-05-18
001207.SZ,001207,联科科技,化工原料,主板,2021-06-23
001208.SZ,001208,华菱线缆,电气设备,主板,2021-06-24
001209.SZ,001209,洪兴股份,服饰,主板,2021-07-23
001210.SZ,001210,金房能源,供气供热,主板,2021-07-29
001211.SZ,001211,双枪科技,家居用品,主板,2021-08-05
001212.SZ,001212,中旗新材,其他建材,主板,2021-08-23
001213.SZ,001213,中铁特货,铁路,主板,2021-09-08
001215.SZ,001215,千味央厨,食品,主板,2021-09-06
001216.SZ,001216,华瓷股份,家居用品,主板,2021-10-19
001217.SZ,001217,华尔泰,化工原料,主板,2021-09-29
001218.SZ,001218,丽臣实业,化工原料,主板,2021-10-15
001219.SZ,001219,青岛食品,食品,主板,2021-10-21
001222.SZ,001222,源飞宠物,文教休闲,主板,2022-08-18
001223.SZ,001223,欧克科技,专用机械,主板,2022-12-12
001225.SZ,001225,和泰机电,专用机械,主板,2023-02-22
001226.SZ,001226,拓山重工,工程机械,主板,2022-06-22
001227.SZ,001227,兰州银行,银行,主板,2022-01-17
001228.SZ,001228,永泰运,仓储物流,主板,2022-04-29
001229.SZ,001229,魅视科技,IT设备,主板,2022-08-08
001230.SZ,001230,劲旅环境,环境保护,主板,2022-07-15
001231.SZ,001231,农心科技,农药化肥,主板,2022-08-19
001234.SZ,001234,泰慕士,服饰,主板,2022-01-11
001236.SZ,001236,弘业期货,多元金融,主板,2022-08-05
001238.SZ,001238,浙江正特,家居用品,主板,2022-09-19
001255.SZ,001255,博菲电气,新型电力,主板,2022-09-30
001256.SZ,001256,炜冈科技,轻工机械,主板,2022-12-05
001258.SZ,001258,立新能源,新型电力,主板,2022-07-27
001259.SZ,001259,利仁科技,家用电器,主板,2022-08-31
001260.SZ,001260,坤泰股份,汽车配件,主板,2023-02-16
001266.SZ,001266,宏英智能,电器仪表,主板,2022-02-28
001267.SZ,001267,汇绿生态,建筑工程,主板,2021-11-17
001268.SZ,001268,联合精密,机械基件,主板,2022-06-30
001269.SZ,001269,欧晶科技,矿物制品,主板,2022-09-30
001270.SZ,001270,铖昌科技,半导体,主板,2022-06-06
001278.SZ,001278,一彬科技,汽车配件,主板,2023-03-08
001282.SZ,001282,三联锻造,汽车配件,主板,2023-05-24
001283.SZ,001283,豪鹏科技,电气设备,主板,2022-09-05
001286.SZ,001286,陕西能源,火力发电,主板,2023-04-10
001287.SZ,001287,中电港,元器件,主板,2023-04-10
001288.SZ,001288,运机集团,专用机械,主板,2021-11-01
001289.SZ,001289,龙源电力,新型电力,主板,2022-01-24
001296.SZ,001296,长江材料,其他建材,主板,2021-12-24
001298.SZ,001298,好上好,元器件,主板,2022-10-31
001299.SZ,001299,美能能源,供气供热,主板,2022-10-31
001300.SZ,001300,三柏硕,文教休闲,主板,2022-10-19
001301.SZ,001301,尚太科技,电气设备,主板,2022-12-28
001308.SZ,001308,康冠科技,元器件,主板,2022-03-18
001309.SZ,001309,德明利,半导体,主板,2022-07-01
001311.SZ,001311,多利科技,汽车配件,主板,2023-02-27
001313.SZ,001313,粤海饲料,饲料,主板,2022-02-16
001314.SZ,001314,亿道信息,元器件,主板,2023-02-14
